*** Compte-rendu de la simulation *** 
Conditions initiales de la simulation : 
Angle initial = 90degre
Vitesse initial = 2 m/s
Taille tige = 5 m
Masse marteau = 2 kg
Coefficient de frottements = 0.025
Section Eprouvette = 5 cm*cm 
Materiau eprouvette : Bois de châtaignier de resilience : 6.0 J/cm*cm 
L'eprouvette a ete detruite ! 
temps (ms);angleRad;vitesseAngulaire 
33090;0.32262408797773234;0.1275161936764611
33105;0.3244964743263493;0.12482575657446511
33120;0.3263283605285366;0.1221257468124845
33135;0.3281196078891349;0.11941649070655332
33150;0.32987008261494655;0.11669831505410948
33165;0.33157965582138377;0.11397154709581317
33180;0.33324820353854456;0.11123651447738547
33195;0.3348756067167166;0.10849354521147164
33210;0.3364617512313096;0.10574296763953309
33225;0.3380065278872162;0.10298511039377221
33240;0.33950983242260263;0.10022030235909428
33255;0.34097156551212926;0.09744887263511036
33270;0.34239163276960205;0.09467115049818556
33285;0.3437699447500551;0.09188746536353654
33300;0.34510641695126587;0.08909814674738242
33315;0.34640096981470314;0.0863035242291532
33330;0.34765352872590954;0.08350392741375962
33345;0.3488640240143185;0.08069968589392851
33360;0.3500323909525076;0.07789112921260788
33375;0.3511585697548893;0.07507858682544533
33390;0.35224250557583947;0.07226238806334409
33405;0.35328414850726597;0.0694428620951006
33420;0.35428345357561786;0.06662033789012743
33435;0.35524038073833686;0.06379514418126564
33450;0.3561548948797522;0.060967609427690424
33465;0.3570269658064209;0.0581380617779139
33480;0.35785656824191425;0.055306829032889006
33495;0.35864368182105255;0.05247423860921833
33510;0.3593882910835896;0.04964061750247166
33525;0.36009038546734884;0.0468062922506162
33540;0.3607499593008123;0.043971588897563134
33555;0.3613670117951648;0.04113683295683442
33570;0.36194154703579506;0.03830234937535354
33585;0.3624735739732555;0.035468462497363934
33600;0.36296310641368273;0.03263549602847895
33615;0.36341016300868073;0.02980377299986687
33630;0.3638147672446694;0.026973615732574858
33645;0.3641769474316993;0.02414534580199538
33660;0.3644967366917365;0.021319284002478817
33675;0.36477417294641795;0.018495750312095893
33690;0.36500929890428124;0.015675063857553507
33705;0.36520216204747025;0.012857542879267573
33720;0.3653528146179192;0.010043504696596445
33735;0.36546131360301776;0.007233265673238458
33750;0.36552772072075973;0.004427141182797115
33765;0.36555210240437747;0.001625445574517445
33780;0.36553452978646545;-0.0011715078608030226
33795;0.36547507868259455;-0.003963406924725173
33810;0.3653738295744211;-0.006749940544897692
33825;0.36523086759229206;-0.009530798808601498
33840;0.3650462824973505;-0.012305672996105844
33855;0.364820168663143;-0.015074255613832686
33870;0.3645526250567331;-0.017836240427326025
33885;0.36424375521932273;-0.02059132249402284
33900;0.3638936672463854;-0.02333919819582237
33915;0.36350247376731365;-0.026079565271450434
33930;0.3630702919245844;-0.028812122848615545
33945;0.3625972433524451;-0.031536571475953616
